ID,IMSI,IMEI,Citizenship No.,First Name,Last Name,Gender,DOB,Age,Maritial status,Phone no ,Type,Zone,Development Region,District,Latitude,Longitude,E-mail,Subscription date,Start date,End date,SMS,Day Calls,Day Charge,Eve Calls,Eve Charge,Night Calls,Night Charge,Total_calls,Total_charge
195,'429013882171523,'394336169773587,966757729,Albert,Wright,Male,12/7/1992,25,0,9848938210,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Albert.Wright@yahoo.com,10/21/2010,20160101,20160112,0,70,26.78,79,11.11,98,8.7,247,46.59
196,'429012754183664,'938896720884892,207205247,Kevin,Mills,Male,5/9/1982,35,1,9851268648,POSTPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Kevin.Mills@gmail.com,4/14/2014,20160101,20160112,7,98,28.93,102,13.19,76,10.29,276,52.41
197,'429018079578955,'610605115077999,600501499,Phyllis,Foster,Female,11/29/1948,69,1,9845200187,PREPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Phyllis.Foster@gmail.com,10/9/2008,20160101,20160114,0,95,9.78,131,22.57,128,10.99,354,43.34
198,'429018849587977,'409790623121432,321261596,Carlos,Anderson,Male,7/24/1991,26,0,9851581244,POSTPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Carlos.Anderson@gmail.com,2/10/2007,20160101,20160120,0,86,33.68,86,15.05,92,8.12,264,56.85
199,'429011599676552,'416922822451687,651265828,Kathy,Hernandez,Female,3/4/1977,40,1,9848313486,PREPAID,Narayani,Central,Bara ,27.1341 N,85.0649 E,Kathy.Hernandez@gmail.com,6/28/2008,20160101,20160122,6,82,28.78,147,18.52,77,8.29,306,55.59
200,'429011650450657,'435296730913720,656537348,Eugene,Webb,Male,12/6/1943,74,1,9848951815,PREPAID,Gandaki,Western,Gorkha,28.4764 N,84.6897 E,Eugene.Webb@yahoo.com,10/4/2016,20160101,20160117,0,64,14.11,106,15.05,89,11.06,259,40.22
201,'429016014634581,'893126881741548,484053926,Robert,Hayes,Male,1/29/1938,79,1,9851491988,POSTPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Robert.Hayes@yahoo.com,9/28/2009,20160101,20160111,0,70,38.79,80,22.41,60,6.42,210,67.62
202,'429016365392528,'254313955039954,413363882,Patricia,Gomez,Female,3/30/1985,32,1,9851154909,POSTPAID,Bagmati,Central,Dhading,27.9711 N,84.8985 E,Patricia.Gomez@gmail.com,9/14/2003,20160101,20160118,8,99,27.17,64,22.44,70,5.21,233,54.82
203,'429016284805456,'347954451670099,583283268,Gregory,Wright,Male,5/28/1987,30,1,9846235147,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Gregory.Wright@gmail.com,2/16/2014,20160101,20160123,0,88,30.6,77,12.33,120,10.52,285,53.45
204,'429012288251301,'251340857994611,111162445,Daniel,Freeman,Male,5/10/1959,58,1,9847265901,PREPAID,Lumbini,Western,Rupandehi ,27.6264 N,83.3789 E,Daniel.Freeman@hotmail.com,10/6/2009,20160101,20160117,7,147,39.13,121,15.87,100,5.78,368,60.78
205,'429016845802476,'939549908481355,346144418,Joe,Martin,Male,8/19/1991,26,0,9842433739,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Joe.Martin@yahoo.com,7/9/2014,20160101,20160126,8,86,45.15,102,17.75,105,8.21,293,71.11
206,'429013782888369,'984662932989088,212124903,Mildred,Russell,Female,11/12/1981,36,1,9841974778,PREPAID,Dhaulagiri,Western,Baglung,28.3683 N,83.2934 E,Mildred.Russell@yahoo.com,8/1/2012,20160101,20160110,0,36,31.59,134,23.5,104,8.64,274,63.73
207,'429018856434975,'383282781597404,413499927,Anthony,Shaw,Male,11/3/1978,39,1,9849498293,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Anthony.Shaw@yahoo.com,10/10/2015,20160101,20160110,0,108,44.44,102,13.13,90,5.89,300,63.46
208,'429017051183877,'340914320457599,258203868,Linda,Grant,Female,8/13/1984,33,1,9848252958,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Linda.Grant@gmail.com,4/24/2000,20160101,20160113,6,108,31.74,86,28.48,119,8.42,313,68.64
209,'429015424015529,'540372265681024,831668279,Sandra,Hunt,Female,4/15/1962,55,1,9843635524,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Sandra.Hunt@gmail.com,10/27/2000,20160101,20160122,8,96,34.05,102,17.1,60,9.27,258,60.42
210,'429017814068312,'881037769285913,653113045,Jeffrey,Bowman,Male,5/22/1980,37,1,9846685310,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Jeffrey.Bowman@gmail.com,5/11/2001,20160101,20160125,0,73,24.19,79,16.56,81,10.77,233,51.52
211,'429016815802222,'507113232817691,469074579,Louis,Ross,Male,11/9/1982,35,1,9842529757,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Louis.Ross@gmail.com,3/26/2006,20160101,20160120,7,118,42.43,119,21.45,90,12.61,327,76.49
212,'429011412700447,'598920421689821,377727538,Harold,Garcia,Male,7/3/1945,72,1,9843414883,PREPAID,Gandaki,Western,Gorkha,28.4764 N,84.6897 E,Harold.Garcia@yahoo.com,2/17/2011,20160101,20160127,0,112,32.22,95,17.6,91,9.63,298,59.45
213,'429011558851008,'971335068055204,899809882,Frank,Cook,Male,8/5/1977,40,1,9851974775,POSTPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Frank.Cook@gmail.com,8/2/2008,20160101,20160122,6,77,43.08,151,15.5,103,12.41,331,70.99
214,'429011185729861,'418221345099342,817201494,Michael,Diaz,Male,8/15/1975,42,1,9841738444,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Michael.Diaz@yahoo.com,5/30/2007,20160101,20160128,0,110,46.63,109,4.5,119,11.07,338,62.2
215,'429015592305925,'365876902852885,858245471,Louise,Payne,Female,6/10/1953,64,1,9843809129,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Louise.Payne@yahoo.com,1/6/2001,20160101,20160127,0,75,59.64,94,18.4,100,11.43,269,89.47
216,'429017436772423,'654035861552754,844256227,Ralph,Franklin,Male,1/11/1988,29,1,9843478204,PREPAID,Gandaki,Western,Gorkha,28.4764 N,84.6897 E,Ralph.Franklin@yahoo.com,3/24/2004,20160101,20160125,0,68,36.5,138,13.48,114,5.55,320,55.53
217,'429019043598603,'937948971376775,545267911,Randy,Franklin,Male,8/14/1984,33,1,9842748377,PREPAID,Mahakali,Far-Western,Kanchanpur,28.8372 N,80.3213 E,Randy.Franklin@gmail.com,2/25/2015,20160101,20160110,4,119,19.16,109,18.5,76,6.84,304,44.5
218,'429016444651136,'280282044435664,873893909,Ann,Willis,Female,6/22/1968,49,1,9847529605,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Ann.Willis@yahoo.com,7/13/2005,20160101,20160127,0,113,27.68,111,24.68,140,5.17,364,57.53
219,'429017676312279,'868057260162594,667863851,Harry,Smith,Male,2/3/1960,57,1,9847585847,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Harry.Smith@yahoo.com,10/2/2008,20160101,20160112,5,104,15.59,119,12.8,103,2.85,326,31.24
220,'429015365742185,'546358668144202,487143065,Jose,West,Male,8/6/1959,58,1,9851396422,POSTPAID,Sagarmatha,Eastern,Saptari,26.6173 N,86.7014 E,Jose.West@gmail.com,7/16/2015,20160101,20160113,0,66,27.08,75,10.7,76,11.79,217,49.57
221,'429014011364952,'567042206531034,350401612,Jeffrey,Mcdonald,Male,12/1/1995,22,0,9848229087,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Jeffrey.Mcdonald@gmail.com,2/26/2014,20160101,20160128,0,75,22.73,87,16.6,89,12.62,251,51.95
222,'429011179808525,'574241101527824,585289328,Barbara,Black,Female,11/12/1991,26,0,9849172120,PREPAID,Mahakali,Far-Western,Dadeldhura,29.2188 N,80.4994 E,Barbara.Black@gmail.com,8/27/2007,20160101,20160116,0,114,19.94,61,17.09,82,4.86,257,41.89
223,'429017748458210,'306107041999663,792186360,Linda,Vasquez,Female,5/25/1995,22,0,9849109018,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Linda.Vasquez@gmail.com,3/16/2011,20160101,20160118,0,92,14.82,110,14.39,80,7.5,282,36.71
224,'429017668529640,'963698369707340,904924814,Cheryl,Gomez,Female,10/15/1986,31,1,9849286068,PREPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Cheryl.Gomez@gmail.com,10/4/2007,20160101,20160129,0,103,24.36,108,17.96,96,8.33,307,50.65
225,'429012603779139,'479929371830517,683502019,Phyllis,Duncan,Female,1/21/1997,20,0,9841122386,PREPAID,Lumbini,Western,Nawalparasi,27.6498 N,83.8897 E,Phyllis.Duncan@hotmail.com,6/13/2014,20160101,20160113,0,104,35.6,78,11.26,123,6.72,305,53.58
226,'429018864176816,'439758551398263,933451021,Kimberly,Anderson,Female,11/20/1940,77,1,9851890715,POSTPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Kimberly.Anderson@yahoo.com,9/26/2013,20160101,20160124,5,88,38.86,109,21.12,124,7.52,321,67.5
227,'429017270127016,'906890546414398,374591079,Cynthia,Vasquez,Female,4/9/1977,40,1,9846144568,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Cynthia.Vasquez@yahoo.com,6/23/2001,20160101,20160129,0,91,35.19,121,13.17,112,11.03,324,59.39
228,'429016032013974,'234147807578386,488918945,Annie,Larson,Female,12/22/1978,39,1,9849931483,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Annie.Larson@gmail.com,10/28/2012,20160101,20160110,6,123,32.35,96,25.61,134,9.66,353,67.62
229,'429011063752023,'549908435322303,259565797,Evelyn,Richardson,Female,12/3/2001,16,0,9841423708,PREPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Evelyn.Richardson@gmail.com,9/3/2016,20160101,20160112,0,110,33.83,111,24.76,92,8.89,313,67.48
230,'429011973205575,'459701253270817,658256339,Pamela,Brown,Female,4/27/1965,52,1,9845958346,PREPAID,Lumbini,Western,Nawalparasi,27.6498 N,83.8897 E,Pamela.Brown@hotmail.com,1/18/2014,20160101,20160125,0,112,43.61,90,16.96,122,8.47,324,69.04
231,'429016633615195,'534139148663960,468236936,Kevin,Perry,Male,1/26/1997,20,0,9851823429,POSTPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Kevin.Perry@gmail.com,6/5/2014,20160101,20160113,0,118,23.38,88,17.27,131,6.75,337,47.4
232,'429015483936018,'886416140162605,503400289,Mildred,Gomez,Female,11/22/2001,16,0,9845457897,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Mildred.Gomez@gmail.com,2/9/2016,20160101,20160117,9,104,41.12,112,12.34,105,9.65,321,63.11
233,'429015352640737,'834551337872671,999020033,Douglas,Garcia,Male,9/12/1986,31,1,9842431119,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Douglas.Garcia@gmail.com,3/17/2008,20160101,20160123,0,105,40.31,105,19,79,4.38,289,63.69
234,'429013399288216,'534277668060821,803200942,Stephanie,Perkins,Female,4/27/1942,75,1,9844773931,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Stephanie.Perkins@gmail.com,5/26/2000,20160101,20160115,0,100,34.6,103,21.05,94,8.74,297,64.39
235,'429012802232162,'655644203735564,541917688,Evelyn,Crawford,Female,2/21/1949,68,1,9851685859,POSTPAID,Janakpur,Central,Dholkha,27.7784 N,86.1752 E,Evelyn.Crawford@gmail.com,10/26/2006,20160101,20160122,0,109,39.78,114,21.21,70,7.79,293,68.78
236,'429014048754957,'126220340224821,447635014,Paula,James,Female,9/22/1959,58,1,9841942416,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Paula.James@gmail.com,9/13/2014,20160101,20160112,0,125,40.77,111,18.26,81,6.45,317,65.48
237,'429019164501544,'608558389121556,453396478,Shirley,Garcia,Female,4/3/1977,40,1,9848311031,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Shirley.Garcia@gmail.com,12/2/2009,20160101,20160116,9,86,27.15,76,16.79,105,5.47,267,49.41
238,'429016978137940,'890934821628712,643507880,Beverly,Hall,Female,4/8/1984,33,1,9851414857,POSTPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Beverly.Hall@gmail.com,10/27/2014,20160101,20160122,0,140,36.67,84,12.44,83,11.91,307,61.02
239,'429018402415286,'112383947110418,531041709,Lori,Williamson,Female,10/6/1994,23,0,9851967544,POSTPAID,Mahakali,Far-Western,Baitadi ,29.5013 N,80.5883 E,Lori.Williamson@gmail.com,8/12/2015,20160101,20160125,0,83,27.15,121,13.21,114,11.51,318,51.87
240,'429015341796939,'298417311990226,543479981,Charles,Mendoza,Male,1/6/1997,20,0,9848697934,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Charles.Mendoza@gmail.com,3/18/2014,20160101,20160116,0,61,36.33,104,21.51,73,9.35,238,67.19
241,'429013657728273,'631902519871687,391106838,Catherine,Medina,Female,12/8/2001,16,0,9846729573,PREPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Catherine.Medina@gmail.com,6/14/2016,20160101,20160114,0,95,51.66,114,22.18,89,14.04,298,87.88
242,'429015519402072,'464337023317111,701441277,Louise,Hart,Female,2/11/1981,36,1,9841289706,PREPAID,Narayani,Central,Chitwan,27.5291 N,84.3542 E,Louise.Hart@gmail.com,3/11/2014,20160101,20160113,0,85,30.91,98,17.2,97,11.07,280,59.18
243,'429019764784679,'945845162322980,448898520,Lois,Campbell,Female,8/7/1993,24,1,9844417910,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Lois.Campbell@gmail.com,4/19/2014,20160101,20160121,0,98,41.45,72,7.13,84,8.09,254,56.67
244,'429019771152866,'476859232395238,505539925,Amanda,Patterson,Female,8/24/1991,26,0,9849719610,PREPAID,Lumbini,Western,Arghakhanchi,27.9829 N,83.0361 E,Amanda.Patterson@hotmail.com,3/6/2016,20160101,20160124,8,109,30.07,104,7.71,69,10.71,282,48.49
245,'429018630871522,'351188854679671,689723802,Louis,Hansen,Male,3/18/1966,51,1,9841522530,PREPAID,Lumbini,Western,Rupandehi ,27.6264 N,83.3789 E,Louis.Hansen@hotmail.com,7/28/2006,20160101,20160116,0,71,30.45,81,16.2,91,5.75,243,52.4
246,'429017320278197,'594545404056500,790094072,Lisa,Black,Female,1/2/1996,21,0,9845761732,PREPAID,Janakpur,Central,Dholkha,27.7784 N,86.1752 E,Lisa.Black@gmail.com,11/2/2011,20160101,20160111,7,115,26.13,146,11.71,104,9.61,365,47.45
247,'429019894468777,'366927578745196,615466159,Patricia,Garrett,Female,1/4/1962,55,1,9845263850,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Patricia.Garrett@gmail.com,6/2/2003,20160101,20160115,0,85,44.17,117,20.6,72,7.6,274,72.37
248,'429019479977863,'268255232084288,482964936,Mary,Hayes,Female,1/10/1950,67,1,9841295815,PREPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Mary.Hayes@gmail.com,2/3/2016,20160101,20160123,7,114,30.75,118,17.81,105,11.25,337,59.81
249,'429011505865830,'200470469352328,827859432,Matthew,Carroll,Male,3/15/1944,73,1,9851134923,POSTPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Matthew.Carroll@yahoo.com,11/6/2011,20160101,20160130,8,90,15.49,115,15.24,89,13.53,294,44.26
250,'429013356628806,'574788806429573,451926865,Laura,Simpson,Female,6/16/1991,26,1,9842024577,PREPAID,Mahakali,Far-Western,Dadeldhura,29.2188 N,80.4994 E,Laura.Simpson@gmail.com,8/2/2009,20160101,20160122,0,106,34.53,113,17.86,129,8.8,348,61.19
251,'429018736281793,'792274109303704,534723583,Andrew,Edwards,Male,10/7/1987,30,1,9849465455,PREPAID,Gandaki,Western,Gorkha,28.4764 N,84.6897 E,Andrew.Edwards@yahoo.com,11/9/2005,20160101,20160117,8,103,45.54,74,22.38,106,8.01,283,75.93
252,'429013743675348,'704242554353921,405005689,Randy,Pierce,Male,11/23/1992,25,0,9844166213,PREPAID,Lumbini,Western,Kapilvastu ,27.6542 N,82.9932 E,Randy.Pierce@hotmail.com,8/1/2008,20160101,20160129,0,97,36.5,90,11.77,44,7.61,231,55.88
253,'429013444605722,'159220217433265,603834397,Johnny,Sims,Male,12/4/1947,70,1,9844830319,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Johnny.Sims@gmail.com,11/13/2000,20160101,20160117,0,80,27.03,128,14.27,101,7.54,309,48.84
254,'429019517288407,'757153110345181,154215808,Elizabeth,Harper,Female,11/8/1982,35,1,9851738219,POSTPAID,Gandaki,Western,Tanahun,27.9447 N,84.2279 E,Elizabeth.Harper@yahoo.com,2/8/2010,20160101,20160114,0,100,34.6,103,21.05,94,8.74,297,64.39
255,'429016627656236,'414130837551685,495460722,Terry,Baker,Male,12/4/2001,16,0,9851943617,POSTPAID,Janakpur,Central,Ramechhap,27.3554 N,86.1345 E,Terry.Baker@gmail.com,8/28/2016,20160101,20160127,0,67,38.27,127,16.93,102,7.9,296,63.1
256,'429017065324407,'158743507123581,659222910,Andrea,Stephens,Female,12/11/1997,20,0,9845601754,PREPAID,Janakpur,Central,Dhanusa,26.8350 N,86.0122 E,Andrea.Stephens@gmail.com,6/10/2012,20160101,20160114,0,125,8.06,90,14.26,107,7.34,322,29.66
257,'429012647169144,'606484445339666,884226633,Benjamin,Hayes,Male,7/3/1991,26,1,9846940490,PREPAID,Narayani,Central,Parsa,27.1736 N,84.8568 E,Benjamin.Hayes@gmail.com,6/25/2006,20160101,20160127,0,86,23.43,76,24.34,77,7.52,239,55.29
258,'429012474661683,'797564429273626,731446934,Christopher,Shaw,Male,6/20/1972,45,1,9849989150,PREPAID,Lumbini,Western,Rupandehi ,27.6264 N,83.3789 E,Christopher.Shaw@hotmail.com,6/7/2010,20160101,20160114,0,69,45,120,25.93,86,8.88,275,79.81
259,'429016542380101,'698548731326276,325983135,Aaron,Marshall,Male,11/19/2000,17,0,9842142406,PREPAID,Mahakali,Far-Western,Kanchanpur,28.8372 N,80.3213 E,Aaron.Marshall@gmail.com,9/16/2015,20160101,20160118,0,77,27.12,92,25.82,120,10.21,289,63.15
260,'429017882346048,'773318680428137,800452315,Judith,Martin,Female,11/2/1960,57,1,9846926114,PREPAID,seti,Far-Western,Kailali,28.8314 N,80.8987 E,Judith.Martin@hotmail.com,6/22/2014,20160101,20160115,0,121,22.9,83,15.3,104,9.04,308,47.24
261,'429018701155272,'471421800079801,643311890,Clarence,Brooks,Male,11/15/1979,38,1,9844052854,PREPAID,Bagmati,Central,Sindhupalchok,27.9512 N,85.6846 E,Clarence.Brooks@gmail.com,6/9/2011,20160101,20160130,0,112,36.92,89,20.97,89,10.17,290,68.06
262,'429011306313606,'270249496012485,938309396,Jean,Daniels,Female,7/14/1959,58,1,9849757587,PREPAID,Lumbini,Western,Arghakhanchi,27.9829 N,83.0361 E,Jean.Daniels@hotmail.com,6/10/2007,20160101,20160119,0,103,24.36,108,17.96,96,8.33,307,50.65
263,'429016703245236,'552988785062494,386712613,Mary,Clark,Female,10/17/1986,31,0,9841514663,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Mary.Clark@gmail.com,3/6/2005,20160101,20160127,9,109,30.07,104,7.71,69,10.71,282,48.49
264,'429014540245679,'710025397611507,382069872,Chris,Harvey,Male,5/17/1993,24,0,9851179329,POSTPAID,Bagmati,Central,Kavrepalanchok,27.5259 N,85.5612 E,Chris.Harvey@gmail.com,2/17/2013,20160101,20160122,0,79,35.05,91,22.1,83,13.12,253,70.27
265,'429014477013949,'927119757159880,556184322,Joseph,Gomez,Male,2/7/1999,18,0,9841594058,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Joseph.Gomez@gmail.com,9/15/2014,20160101,20160120,0,85,22.75,94,15.34,115,5.05,294,43.14
266,'429011887031581,'583406319142704,719991912,Amanda,Rice,Female,2/20/1982,35,1,9848685879,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Amanda.Rice@yahoo.com,6/17/2013,20160101,20160113,0,91,44.93,115,13.68,73,8.94,279,67.55
267,'429011581222203,'214256462292637,983877969,Mary,Young,Female,7/4/1980,37,1,9848916473,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Mary.Young@gmail.com,10/27/2008,20160101,20160115,5,75,25.59,93,16.41,93,14.02,261,56.02
268,'429013578939717,'860013615843079,535733815,Frances,Richardson,Female,2/3/1969,48,1,9844348720,PREPAID,seti,Far-Western,Bajhang ,29.7767 N,81.2519 E,Frances.Richardson@hotmail.com,4/30/2011,20160101,20160121,7,95,51.66,114,22.18,89,14.04,298,87.88
269,'429015659504720,'584714243630201,662483583,Steven,Ryan,Male,12/5/1994,23,0,9841230829,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Steven.Ryan@gmail.com,8/29/2010,20160101,20160114,4,40,39.2,58,16.07,115,7.3,213,62.57
270,'429012381573186,'504912122703936,846602376,Wayne,Fox,Male,11/26/1977,40,1,9844904012,PREPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Wayne.Fox@gmail.com,3/25/2007,20160101,20160124,0,120,39.41,106,12.8,129,12.11,355,64.32
271,'429019799979368,'662040854881680,854978390,Denise,Spencer,Female,3/22/1996,21,0,9848398548,PREPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Denise.Spencer@gmail.com,2/10/2016,20160101,20160110,0,84,26.1,73,16.49,94,11.54,251,54.13
272,'429015555278290,'126067009018598,726903977,Dorothy,Harrison,Female,7/23/1964,53,1,9841327340,PREPAID,Gandaki,Western,Lamjung,28.2765 N,84.3542 E,Dorothy.Harrison@yahoo.com,7/16/2012,20160101,20160117,0,117,15.64,77,21.56,90,9.63,284,46.83
273,'429019300505555,'436251273084654,704702306,Sean,Stone,Male,8/6/1987,30,1,9841029667,PREPAID,Bagmati,Central,Bhaktapur,27.6710 N,85.4298 E,Sean.Stone@gmail.com,7/11/2014,20160101,20160124,0,111,36.28,94,19.93,123,11.25,328,67.46
274,'429013756786454,'936018135366449,514793661,Jacqueline,Campbell,Female,8/14/1947,70,1,9848542203,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Jacqueline.Campbell@yahoo.com,12/29/2013,20160101,20160113,8,105,46.1,105,17.22,51,9.97,261,73.29
275,'429017869754200,'316035485017163,297944339,Phillip,Moreno,Male,4/10/1992,25,0,9844742004,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Phillip.Moreno@gmail.com,2/12/2013,20160101,20160129,0,80,37.4,102,18.47,71,6.88,253,62.75
276,'429012327949954,'692596990854374,809228308,Laura,Burton,Female,9/20/1986,31,1,9849657326,PREPAID,Bagmati,Central,Sindhupalchok,27.9512 N,85.6846 E,Laura.Burton@gmail.com,2/5/2009,20160101,20160113,0,89,37.43,125,7.51,79,8.79,293,53.73
277,'429011000868775,'466894886595225,453131133,Raymond,James,Male,10/14/1998,19,0,9842120188,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Raymond.James@gmail.com,6/8/2016,20160101,20160124,0,109,25.52,103,22.5,97,8.03,309,56.05
278,'429012595898231,'925162442340404,506253477,Kathleen,Perkins,Female,12/7/1989,28,0,9844089138,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Kathleen.Perkins@gmail.com,10/2/2011,20160101,20160112,8,86,28.41,87,15.09,132,11.22,305,54.72
279,'429019698644084,'663831814494025,434486432,Louise,Owens,Female,4/29/1995,22,1,9851847945,POSTPAID,Mechi,Eastern,Ilam,26.8760 N,87.9335 E,Louise.Owens@gmail.com,12/18/2012,20160101,20160125,8,151,35.07,89,12.63,91,7.52,331,55.22
280,'429018848059772,'453571268881878,149677933,Julia,Hawkins,Female,7/14/1969,48,1,9848083592,PREPAID,Mechi,Eastern,Jhapa ,26.6398 N,87.8942 E,Julia.Hawkins@gmail.com,1/6/2008,20160101,20160130,7,122,39.46,112,24.85,112,9.05,346,73.36
281,'429015859385547,'450697625426084,325059011,Wayne,Olson,Male,2/24/1966,51,1,9848385534,PREPAID,Bagmati,Central,Kavrepalanchok,27.5259 N,85.5612 E,Wayne.Olson@gmail.com,10/29/2004,20160101,20160129,5,63,36.21,71,15.01,126,11.82,260,63.04
282,'429015747989317,'780081606712353,424640727,Thomas,Lewis,Male,12/25/1992,25,0,9849838448,PREPAID,Lumbini,Western,Kapilvastu ,27.6542 N,82.9932 E,Thomas.Lewis@hotmail.com,3/20/2008,20160101,20160122,10,104,42.94,125,14.37,106,7.69,335,65
283,'429018889590208,'147341534656129,489717006,Samuel,Cooper,Male,1/19/1997,20,0,9842531078,PREPAID,Lumbini,Western,Arghakhanchi,27.9829 N,83.0361 E,Samuel.Cooper@hotmail.com,10/4/2016,20160101,20160117,0,79,40.39,107,16.35,111,9.33,297,66.07
284,'429016651812162,'813428836456445,245800980,Maria,Hughes,Female,2/4/1956,61,1,9841268535,PREPAID,Lumbini,Western,Palpa,27.8253 N,83.6348 E,Maria.Hughes@yahoo.com,3/29/2010,20160101,20160129,6,92,37.26,125,12.7,104,11.01,321,60.97
285,'429018991734683,'132602307574651,187431697,Mark,Bennett,Male,9/26/2000,17,0,9844622518,PREPAID,Janakpur,Central,Ramechhap,27.3554 N,86.1345 E,Mark.Bennett@gmail.com,2/1/2016,20160101,20160114,0,94,32.11,104,17.33,124,6.83,322,56.27
286,'429014030991940,'555247849430868,945251761,Paul,Palmer,Male,8/18/1994,23,0,9851531058,POSTPAID,Lumbini,Western,Gulmi,28.0889 N,83.2934 E,Paul.Palmer@yahoo.com,10/15/2012,20160101,20160120,0,124,30.99,110,14.44,116,8.28,350,53.71
287,'429018448222925,'102310681850212,992905974,Steven,Castillo,Male,2/29/1967,50,1,9842137198,PREPAID,Bagmati,Central,Kathmandu,27.7172 N,85.3240 E,Steven.Castillo@gmail.com,1/26/2002,20160101,20160127,10,63,25.84,131,22,109,11.84,303,59.68
288,'429011006439818,'856630216625318,241803121,Shirley,Reid,Female,10/24/2001,16,0,9851702206,POSTPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Shirley.Reid@gmail.com,6/6/2016,20160101,20160117,0,106,22.02,90,21.16,115,12.06,311,55.24
289,'429017118597733,'652387508313994,486784633,Alice,Jackson,Female,3/5/1983,34,1,9846752719,PREPAID,Gandaki,Western,Kaski,28.2622 N,84.0167 E,Alice.Jackson@yahoo.com,12/29/2005,20160101,20160127,0,104,26.2,84,10.49,57,9.09,245,45.78
290,'429013460081775,'794822999888893,305839100,Linda,Larson,Female,8/30/1974,43,1,9846579304,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,Linda.Larson@gmail.com,8/16/2006,20160101,20160110,0,107,18.75,93,14.15,96,9.1,296,42
291,'429011262575150,'465041270281409,512471709,James,Wells,Male,1/10/1983,34,1,9843462683,PREPAID,Bagmati,Central,Lalitpur,27.6644 N,85.3188 E,James.Wells@gmail.com,7/7/2001,20160101,20160110,0,108,21.64,81,21.36,88,6.08,277,49.08
292,'429014763365044,'377152940255954,429074287,Rose,Evans,Female,3/10/1972,45,1,9851532841,POSTPAID,Lumbini,Western,Arghakhanchi,27.9829 N,83.0361 E,Rose.Evans@hotmail.com,10/17/2006,20160101,20160126,0,125,10.01,59,14.42,88,9.51,272,33.94
